454,367, 448
7,398, 161
106,363, 70
376,368, 394, 367
320,323, 319
269,268, 286
45,134, 131
16,183, 184
242,243, 99
164,64, 245
193,86, 162
135,136, 222
425,426, 418
213,46
318,309, 317
347,353, 362, 348
271,6
74,211, 282
298,8, 38
150,72, 149
467,457, 2
60,349, 366
391,388, 387
362,347, 437
284,273, 276
409,410
255,258, 292
31,85, 32, 49, 105
58,180, 412
438,37, 9, 245, 346
411,412, 295
87,41, 248
304,251, 79
389,393, 390, 388
226,214, 459
119,70, 118
440,295, 399
121,15, 348, 122, 36
148,137, 71
177,178, 157
333,334, 198
29,2, 427, 105
108,374, 107
273,248, 284, 40
20,263, 171
47,48, 141
456,274
400,401, 435, 417
137,138, 148
18,256, 43
349,348, 60, 350, 120, 142
351,352, 350, 307, 356, 641, 355
9,438, 238
641,351, 642
380,144, 379
195,439, 97
244,246, 64, 63
166,167, 159
76,372, 140
110,109, 69
322,319, 321
427,29, 420
378,435, 377, 421
215,13, 12
188,279, 187
69,110, 308
4,116, 115
315,316, 341
237,238, 299
422,429, 421
159,166, 158
98,104, 83
42,129, 455, 445, 116
190,23, 189
344,113, 343
373,300, 372, 302, 303, 234, 301, 139
103,293, 93, 155, 357
71,148, 364
266,267, 268
295,296, 440, 411, 399
449,234, 432
210,65, 209, 14
208,14, 207, 229
13,227, 215, 12
161,7, 57
451,33, 34, 468, 49
132,130, 133
234,373, 449
100,327, 198
312,77, 324
127,447, 8
37,68, 438
397,431, 396
370,371, 369
263,59, 20
368,452, 376, 453, 367
185,181, 186
156,157, 172
66,307, 143
341,315, 332
205,99, 182
1,105, 457
95,93, 101
339,342, 338
446,430, 406
10,299, 307
417,400, 416
292,255, 27
445,42, 136
155,78, 103
36,121, 382, 122
340,343, 330
204,101, 466
291,264, 48
309,310, 318
396,397, 180
338,339, 337
311,392, 62
184,16
289,290, 169, 141
94,88, 3
416,417, 429
262,174, 264
367,368, 454, 118, 376
126,40, 125
65,247, 210, 63
430,402, 446
21,171, 176
274,456, 260
19,43, 254
379,380, 401
401,379, 400
428,413
48,22, 296, 291, 47
352,346, 351
216,73, 223
138,154, 137
245,643, 67, 164, 438
323,62, 320
50,250, 258
381,382, 393
196,83, 124
167,287, 166
111,112, 461
140,76, 139
642,641, 643
77,387, 312
109,107, 110
457,1, 467
158,159, 86, 160, 162
450,462, 458
419,420, 123
343,344, 340
97,195, 90
421,422, 378
131,45, 130
187,188, 246
41,125, 87, 280
314,321, 313
160,170, 158
3,94, 359
265,275, 59
372,373, 76
448,454, 447
207,208, 229
68,232, 37
294,239, 293
12,13, 225, 215
399,295, 353, 440, 398
70,106, 119
39,257, 44
102,34, 49
236,54, 239
129,115, 42
415,434, 414
290,253, 289
395,444, 410
232,191, 68
259,260, 408
203,96, 439
261,173
337,338, 326
154,153, 138
35,224, 75
366,60, 84, 365
93,103, 95
308,69, 342
183,17, 16
125,126, 41
444,436, 395
288,81, 82
310,387, 309
64,244, 164
432,433, 15, 449, 424
169,289, 168, 173
113,112, 330, 461, 344
354,355, 80
459,226, 192
218,221, 217
461,111, 113
325,326, 334
403,404, 402
142,143, 349, 348
52,249, 89
79,304, 78
81,147, 288
247,65
383,384, 146
276,40, 257, 284
171,20, 21
198,100, 469, 333
220,223, 219
23,25, 190
275,265
402,403, 430
382,36, 381
139,373, 11, 140
458,450, 33
49,102, 85, 451, 31
80,354, 145
643,642, 245
246,187, 244
112,61, 113, 114, 111
168,169, 170
324,312, 316
170,168, 160
429,416, 422
141,47, 468, 289
22,176, 48, 297
51,53, 249
197,466, 470
78,79, 155
431,270, 397
217,218, 5
353,399, 348, 56, 347, 120
460,465, 104
8,127, 298
426,404, 425
107,374, 109, 108
455,42, 134
75,35, 301
272,285, 256
165,57, 163
46,5, 213
377,378, 15
214,385, 226
321,322, 314
299,237, 10
17,99, 183
350,351, 349, 153
136,445, 135
194,283, 73
319,320, 322
348,121, 61, 353, 349, 142, 347
243,124, 242
105,92, 1, 31, 29
346,438, 352
268,266, 269
15,432, 121, 435, 377, 122
241,24, 240
6,271, 267
134,455, 45
317,318
375,394, 374
163,165, 56
270,431
192,459, 465
297,22, 296
212,235, 211
44,39, 285
73,194, 216
239,236, 294
424,432
453,360, 368
452,369, 368
14,210, 208, 209
238,9, 237
162,193, 88, 158, 359
345,329, 328
5,217, 46
267,6, 266
209,210, 14
104,460, 98
211,212, 74
72,151, 150
191,67, 232
374,375, 107, 108
296,48, 295, 297
240,241, 231
99,61, 17, 242, 205
316,324, 315
43,18, 19
133,132
189,190, 24
392,390, 311
334,325, 333
88,162, 94
180,396, 58
90,97, 464
470,197
149,150, 152
256,272, 18
151,146, 72
32,31, 200
178,179, 177
468,141, 462, 451, 27
227,229, 13, 228
305,306, 235
439,203, 195, 358, 404
59,265, 263
441,365, 84
61,348, 112, 281, 99, 120, 114
363,364, 106
200,32, 92
122,15, 36, 121, 120
412,58, 411
285,44, 272
253,254, 290
224,225, 35, 301
302,373, 303
282,74, 283
329,330, 345
358,359, 199, 439
387,391, 77, 310
27,292, 468
146,383, 151
56,163, 353
436,437, 444
85,49, 31
407,408, 175
175,407, 174
360,361, 453
331,332, 336
465,192, 460
157,177, 156
101,95, 204
96,199, 203
67,245, 191
186,185, 55
293,294, 103
130,131, 132
342,308, 339
2,467, 29
40,273, 276, 277, 126
447,448, 127
371,433, 370
369,370, 452
420,427, 419
128,405, 116, 123
38,298, 55
313,314, 335
235,305, 212
398,399, 7
11,139, 434, 433
418,425
264,262, 291
277,278, 40
384,442, 383
82,288, 281
221,222, 218
326,337, 325
199,358, 96
53,463, 51
248,87, 273
219,220
404,464, 426, 439, 403
462,468, 450
355,356, 354, 351
172,156, 287
250,89, 50
433,84, 432, 371, 11
24,189, 241
114,61, 112
143,66, 142
251,252, 304
385,386, 214
405,406, 128
249,51, 52
115,4, 129
356,357, 355, 351
173,261, 169
222,135, 221
463,28, 53
434,11, 415
280,41
327,328, 100
54,230, 236
83,98, 196
300,301, 373
25,23
278,277
144,145, 380
281,82, 61
116,128, 4, 42
145,80, 144
386,55, 385
174,175, 262
301,224, 373, 75, 300
252,251
55,38, 386, 186
435,400, 378, 15
279,188
26,201, 91
328,330, 327, 345
357,103, 356
223,216, 220
84,366, 433, 441
406,446, 405
330,113, 328, 340, 329
464,90, 404
201,26
364,71, 363
469,198, 335, 336
179,286, 178
442,443, 384
228,229, 227
62,311, 323
257,276, 39
286,269, 179
230,231, 54
393,381, 389
413,414, 428
123,419, 128
89,52, 250
33,458, 451
181,182, 185
152,149, 306
335,313, 469
306,152, 305
91,26, 202
202,91, 30
394,376, 375
231,240, 230
443,442
287,172, 167
124,196, 243
182,205, 181
92,200, 105
365,366, 441
258,50, 255
34,451, 102
414,415, 413
336,331, 469
307,10, 66, 351
229,207, 228, 208, 227
63,65, 244
153,350, 154
260,274, 259
388,389, 391
303,302, 373
359,3, 358, 162
466,204, 197
118,119, 367
57,161, 165
332,341, 331
283,282, 194
120,353, 349, 122, 61
410,395, 361, 409
390,389, 392
254,19, 253
147,81
86,158, 193
408,259, 407
28,30, 463
30,202, 28
437,362, 436
225,12, 224
176,21, 22
361,410, 360